지번주소,HDBSCAN_cluster_without_noise,인구밀도,총 사업체수,반경 1km 이내 불법주정차 단속 수,토지면적,공시지가(원/면적),역과의최단거리,반경 1km 이내 주차장수,위도,경도
서울특별시 광진구 중곡동  49-39,0,51888.4,21,32,129.9,3640000.0,504,153,37.5599316,127.0827019
서울특별시 광진구 중곡동  49-40,0,51888.4,21,32,129.9,3640000.0,515,152,37.5600212,127.0827525
서울특별시 광진구 중곡동  49-41,0,51888.4,21,32,129.9,3785000.0,524,154,37.5601102,127.0828026
서울특별시 광진구 중곡동  49-42,0,51888.4,21,32,129.9,3745000.0,526,154,37.560057,127.0829594
서울특별시 광진구 중곡동  49-43,0,51888.4,21,32,129.9,3603000.0,515,153,37.5599682,127.082909
서울특별시 광진구 중곡동  49-44,0,51888.4,21,32,129.9,3603000.0,504,154,37.559878,127.0828578
서울특별시 광진구 중곡동  49-45,0,51888.4,21,32,148.8,4345000.0,535,155,37.5598317,127.0829905
서울특별시 광진구 중곡동  49-46,0,51888.4,21,38,148.8,4345000.0,546,154,37.5599223,127.0830414
서울특별시 광진구 중곡동  49-47,0,51888.4,21,32,148.8,4518000.0,552,154,37.5600115,127.0830914
서울특별시 광진구 중곡동  49-49,0,51888.4,21,32,167.4,4301000.0,448,150,37.55976709999999,127.0824485
서울특별시 광진구 중곡동  49-50,0,51888.4,21,32,176.3,4301000.0,421,148,37.5595423,127.0823271
서울특별시 광진구 중곡동  49-55,0,51888.4,21,32,167.4,4301000.0,435,150,37.5596568,127.0823875
서울특별시 광진구 중곡동  49-57,0,51888.4,21,32,143.3,3640000.0,458,152,37.5595572,127.0824861
서울특별시 광진구 중곡동  49-62,0,51888.4,21,32,154.6,3603000.0,492,154,37.5597721,127.0828153
서울특별시 광진구 중곡동  49-64,0,51888.4,21,32,142.6,3640000.0,493,153,37.55984110000001,127.0826429
서울특별시 광진구 중곡동  49-65,0,51888.4,21,32,141.4,3640000.0,481,152,37.5597465,127.0825906
서울특별시 광진구 중곡동  49-66,0,51888.4,21,32,143.3,3640000.0,470,153,37.5596525,127.0825388
서울특별시 광진구 중곡동  49-70,0,44921.6,35,34,138.8,3603000.0,446,153,37.5594073,127.0825863
서울특별시 광진구 중곡동  49-72,0,51888.4,21,34,162.9,4345000.0,522,154,37.5597283,127.082941
서울특별시 광진구 중곡동  49-74,0,51888.4,21,34,165.2,4345000.0,509,154,37.559617,127.0828794
서울특별시 광진구 중곡동  49-8,0,51888.4,21,30,90.6,4301000.0,524,151,37.5603922,127.0827784
서울특별시 광진구 중곡동  50-17,0,44921.6,35,34,239.2,4802000.0,463,153,37.559057,127.0829743
서울특별시 광진구 중곡동  50-19,0,44921.6,35,34,235.7,4992000.0,456,153,37.5590999,127.0828314
서울특별시 광진구 중곡동  50-2,0,44921.6,35,30,197.4,4855000.0,627,159,37.5601663,127.0836251
서울특별시 광진구 중곡동  50-20,0,44921.6,35,34,160.3,4301000.0,470,153,37.5592135,127.0828937
서울특별시 광진구 중곡동  50-21,0,44921.6,35,34,146.8,4301000.0,480,154,37.5593013,127.0829423
서울특별시 광진구 중곡동  50-22,0,44921.6,35,34,151.4,4301000.0,489,155,37.55938580000001,127.0829892
서울특별시 광진구 중곡동  50-25,0,44921.6,35,34,138.8,4301000.0,505,155,37.5595207,127.0830638
서울특별시 광진구 중곡동  50-29,0,44921.6,35,32,138.8,3257000.0,591,158,37.5599803,127.0835399
서울특별시 광진구 중곡동  50-3,0,44921.6,35,32,262.5,5467000.0,642,162,37.560113,127.083776
서울특별시 광진구 중곡동  50-33,0,44921.6,35,30,143.8,4301000.0,582,158,37.5600332,127.0833678
서울특별시 광진구 중곡동  50-34,0,44921.6,35,34,136.8,3640000.0,586,157,37.5594271,127.0831625
서울특별시 광진구 중곡동  50-36,0,44921.6,35,34,116.0,4301000.0,547,156,37.5598667,127.0832415
서울특별시 광진구 중곡동  50-4,0,44921.6,35,32,137.9,4875000.0,638,160,37.560006,127.0837332
서울특별시 광진구 중곡동  50-40,0,44921.6,35,34,116.0,3257000.0,545,157,37.5598181,127.0833506
서울특별시 광진구 중곡동  50-41,0,44921.6,35,32,123.0,3257000.0,591,157,37.55991909999999,127.0834084
서울특별시 광진구 중곡동  50-42,0,44921.6,35,32,139.2,3454000.0,591,158,37.5598836,127.0835186
서울특별시 광진구 중곡동  50-45,0,44921.6,35,34,133.2,4875000.0,596,159,37.559659,127.0835516
서울특별시 광진구 중곡동  50-46,0,44921.6,35,40,133.2,4875000.0,606,159,37.5597401,127.0835964
서울특별시 광진구 중곡동  50-48,0,44921.6,35,32,133.2,4875000.0,619,160,37.5598466,127.083655
서울특별시 광진구 중곡동  50-53,0,44921.6,35,34,136.8,3640000.0,577,156,37.5593134,127.0830989
서울특별시 광진구 중곡동  50-55,0,44921.6,35,34,136.9,3640000.0,591,155,37.5591981,127.083034
서울특별시 광진구 중곡동  50-6,0,44921.6,35,34,110.4,5021000.0,593,160,37.5595541,127.0835024
서울특별시 광진구 중곡동  50-7,0,44921.6,35,34,103.8,3640000.0,605,159,37.5595967,127.0833822
서울특별시 광진구 중곡동  50-8,0,44921.6,35,34,118.7,3640000.0,605,157,37.5596213,127.0832682
서울특별시 광진구 중곡동  51-1,0,47036.5,46,32,208.7,5467000.0,682,163,37.5600239,127.0840583
서울특별시 광진구 중곡동  51-10,0,47036.5,46,32,137.7,3281000.0,699,162,37.559861,127.08416
서울특별시 광진구 중곡동  51-12,0,47036.5,46,32,140.5,4875000.0,683,162,37.5599135,127.0839954
서울특별시 광진구 중곡동  51-14,0,47036.5,46,32,143.5,4875000.0,707,162,37.5598384,127.083955
서울특별시 광진구 중곡동  51-17,0,47036.5,46,34,134.5,4826000.0,594,160,37.5595632,127.0837723
서울특별시 광진구 중곡동  51-18,0,47036.5,46,34,222.8,4680000.0,587,159,37.5594812,127.0838107
서울특별시 광진구 중곡동  51-24,0,47036.5,46,34,159.7,5021000.0,578,159,37.5594015,127.0837009
서울특별시 광진구 중곡동  51-27,0,53389.2,17,40,133.9,3603000.0,591,160,37.5592384,127.0837736
서울특별시 광진구 중곡동  51-28,0,53389.2,17,34,107.1,3603000.0,603,161,37.5591973,127.0838919
서울특별시 광진구 중곡동  51-29,0,53389.2,17,34,136.2,4207000.0,586,160,37.5590722,127.0839392
서울특별시 광진구 중곡동  51-3,0,47036.5,46,32,234.8,5128000.0,691,162,37.5599662,127.0842218
서울특별시 광진구 중곡동  51-30,0,53389.2,17,34,194.7,4038000.0,577,156,37.55884959999999,127.083806
서울특별시 광진구 중곡동  51-31,0,53389.2,17,34,399.0,4038000.0,525,157,37.5588593,127.0836283
서울특별시 광진구 중곡동  51-32,0,53389.2,17,32,136.9,4524000.0,540,156,37.5587487,127.0837476
서울특별시 광진구 중곡동  51-33,0,53389.2,17,34,423.5,5890000.0,518,156,37.5589208,127.083457
서울특별시 광진구 중곡동  51-34,0,47036.5,46,32,126.9,4875000.0,714,162,37.5597678,127.0839153
서울특별시 광진구 중곡동  51-35,0,53389.2,17,39,110.4,4207000.0,613,162,37.55916089999999,127.0839974
서울특별시 광진구 중곡동  51-36,0,53389.2,17,34,133.2,3640000.0,575,160,37.5591142,127.0838179
서울특별시 광진구 중곡동  51-37,0,53389.2,17,40,133.2,3640000.0,563,157,37.5591558,127.0836982
서울특별시 광진구 중곡동  51-40,0,53389.2,17,34,139.8,5070000.0,536,156,37.55907819999999,127.0835101
서울특별시 광진구 중곡동  51-41,0,53389.2,17,34,133.2,3603000.0,563,158,37.5590362,127.0836326
서울특별시 광진구 중곡동  51-42,0,53389.2,17,34,133.2,3603000.0,574,158,37.5589949,127.0837524
서울특별시 광진구 중곡동  51-43,0,53389.2,17,34,136.2,4207000.0,586,159,37.558953,127.0838739
서울특별시 광진구 중곡동  51-46,0,47036.5,46,32,143.8,3248000.0,714,163,37.55964540000001,127.0841754
서울특별시 광진구 중곡동  51-47,0,47036.5,46,32,112.4,3315000.0,710,163,37.55974,127.0842194
서울특별시 광진구 중곡동  51-48,0,47036.5,46,32,151.4,2961000.0,701,163,37.5598052,127.0842874
