지번주소,UMAP1,UMAP2,OPTICS_cluster_without_noise
서울특별시 광진구 광장동  258-19,10.605278,20.07731,17
서울특별시 광진구 광장동  258-20,10.564601,20.117413,16
서울특별시 광진구 광장동  258-25,-0.59140563,17.173876,1547
서울특별시 광진구 광장동  258-26,-0.5959871,17.176033,1547
서울특별시 광진구 광장동  258-28,10.622162,20.060091,17
서울특별시 광진구 광장동  258-3,-0.6549622,17.232563,1549
서울특별시 광진구 광장동  258-30,10.617117,20.063688,17
서울특별시 광진구 광장동  258-31,10.602138,20.082888,17
서울특별시 광진구 광장동  258-32,10.554154,20.130295,16
서울특별시 광진구 광장동  258-33,10.562096,20.128128,16
서울특별시 광진구 광장동  258-34,10.552259,20.137182,16
서울특별시 광진구 광장동  258-35,10.435501,20.253447,14
서울특별시 광진구 광장동  258-36,-0.5899173,17.171682,1547
서울특별시 광진구 광장동  258-37,-0.58445436,17.165937,1547
서울특별시 광진구 광장동  258-38,-0.5853124,17.166763,1547
서울특별시 광진구 광장동  258-39,-0.59162986,17.17204,1547
서울특별시 광진구 광장동  258-4,10.552883,20.13773,16
서울특별시 광진구 광장동  258-40,-0.59342545,17.173561,1547
서울특별시 광진구 광장동  258-41,-0.6014009,17.181017,1547
서울특별시 광진구 광장동  258-42,-0.5973752,17.177385,1547
서울특별시 광진구 광장동  258-7,10.553392,20.137165,16
서울특별시 광진구 광장동  258-8,10.572377,20.106735,16
서울특별시 광진구 광장동  259-1,10.616503,20.07842,17
서울특별시 광진구 광장동  259-3,-0.6407255,17.219095,1549
서울특별시 광진구 광장동  259-6,10.597804,20.088863,17
서울특별시 광진구 광장동  259-7,10.609508,20.080482,17
서울특별시 광진구 광장동  259-8,10.624115,20.071505,17
서울특별시 광진구 광장동  259-9,10.59537,20.099833,17
서울특별시 광진구 광장동  262,10.557599,20.133442,16
서울특별시 광진구 광장동  264,10.564528,20.118956,16
서울특별시 광진구 광장동  264-1,10.553619,20.137123,16
서울특별시 광진구 광장동  264-11,10.352626,20.273733,14
서울특별시 광진구 광장동  264-4,10.275151,20.331226,14
서울특별시 광진구 광장동  264-5,10.317434,20.30024,14
서울특별시 광진구 광장동  266,10.55415,20.13628,16
서울특별시 광진구 광장동  270-1,10.199051,20.377665,14
서울특별시 광진구 광장동  270-3,10.25877,20.341581,14
서울특별시 광진구 광장동  271-1,10.224009,20.364744,14
서울특별시 광진구 광장동  271-11,10.237218,20.35566,14
서울특별시 광진구 광장동  271-14,10.214765,20.369669,14
서울특별시 광진구 광장동  271-15,10.241192,20.35408,14
서울특별시 광진구 광장동  271-17,10.208518,20.374357,14
서울특별시 광진구 광장동  271-7,10.315665,20.291384,14
서울특별시 광진구 광장동  272-1,8.884282,21.173134,9
서울특별시 광진구 광장동  272-11,8.922969,21.200708,9
서울특별시 광진구 광장동  272-15,9.052828,21.22654,8
서울특별시 광진구 광장동  272-16,9.071978,21.22517,8
서울특별시 광진구 광장동  272-19,9.0968,21.23575,7
서울특별시 광진구 광장동  272-21,9.059369,21.229443,8
서울특별시 광진구 광장동  272-31,8.930597,21.206429,9
서울특별시 광진구 광장동  272-33,8.907021,21.194134,9
서울특별시 광진구 광장동  272-4,9.103091,21.238926,7
서울특별시 광진구 광장동  272-5,9.055025,21.228521,8
서울특별시 광진구 광장동  272-9,8.79306,21.168293,11
서울특별시 광진구 광장동  275-1,8.752548,21.170856,12
서울특별시 광진구 광장동  276,8.828145,21.1585,10
서울특별시 광진구 광장동  276-1,10.462,17.622404,30
서울특별시 광진구 광장동  276-10,10.4655905,17.622011,30
서울특별시 광진구 광장동  276-11,10.463126,17.623213,30
서울특별시 광진구 광장동  276-14,8.912844,21.183561,9
서울특별시 광진구 광장동  276-16,8.757111,21.166294,12
서울특별시 광진구 광장동  276-17,8.751771,21.166996,12
서울특별시 광진구 광장동  276-2,10.475783,17.613699,30
서울특별시 광진구 광장동  276-23,8.844985,21.136915,10
서울특별시 광진구 광장동  276-29,10.4546585,17.613539,30
서울특별시 광진구 광장동  276-30,10.461856,17.626383,30
서울특별시 광진구 광장동  276-4,10.449865,17.616405,30
서울특별시 광진구 광장동  276-7,10.460705,17.630848,30
서울특별시 광진구 광장동  276-8,10.460463,17.625149,30
서울특별시 광진구 광장동  277-1,8.784682,21.16703,11
