지번주소,UMAP1,UMAP2,OPTICS_cluster_without_noise
서울특별시 광진구 광장동  198-1,12.932067,1.7961898,1970
서울특별시 광진구 광장동  210-1,2.891462,7.859953,1721
서울특별시 광진구 광장동  218-1,7.8110046,-0.32441804,606
서울특별시 광진구 광장동  237-9,9.828771,2.4065266,25
서울특별시 광진구 광장동  238,7.691599,-0.12338411,69
서울특별시 광진구 광장동  239-6,9.8036175,2.3913918,5
서울특별시 광진구 광장동  240-1,9.829404,2.4070098,25
서울특별시 광진구 광장동  241-1,9.780973,2.4082584,5
서울특별시 광진구 광장동  243-12,9.831041,2.410558,25
서울특별시 광진구 광장동  243-8,9.789537,2.4144695,5
서울특별시 광진구 광장동  243-9,9.7771845,2.417018,5
서울특별시 광진구 광장동  244-12,10.012399,3.3096874,34
서울특별시 광진구 광장동  244-21,9.9981165,3.292337,32
서울특별시 광진구 광장동  244-26,9.841856,2.40688,26
서울특별시 광진구 광장동  244-27,9.826338,2.423607,5
서울특별시 광진구 광장동  244-28,9.835823,2.3988464,25
서울특별시 광진구 광장동  244-6,10.012711,3.3095436,34
서울특별시 광진구 광장동  245-10,9.999722,3.292684,32
서울특별시 광진구 광장동  245-13,10.012027,3.308997,34
서울특별시 광진구 광장동  245-15,10.005929,3.3010519,33
서울특별시 광진구 광장동  245-16,9.850087,2.401257,26
서울특별시 광진구 광장동  245-2,9.825018,2.410182,25
서울특별시 광진구 광장동  245-3,9.999521,3.2909188,32
서울특별시 광진구 광장동  245-4,10.0079365,3.3018062,33
서울특별시 광진구 광장동  245-7,10.005388,3.2995663,33
서울특별시 광진구 광장동  245-9,9.998025,3.290614,32
서울특별시 광진구 광장동  246-10,9.84234,2.4008038,26
서울특별시 광진구 광장동  246-11,9.84101,2.374793,5
서울특별시 광진구 광장동  246-12,9.847751,2.39708,26
서울특별시 광진구 광장동  246-20,9.839778,2.3931885,26
서울특별시 광진구 광장동  246-6,9.837613,2.397818,26
서울특별시 광진구 광장동  246-7,9.842864,2.4019575,26
서울특별시 광진구 광장동  246-9,9.84494,2.4035113,26
서울특별시 광진구 광장동  247-10,10.008044,3.305259,11
서울특별시 광진구 광장동  247-17,9.829262,2.40468,25
서울특별시 광진구 광장동  247-18,9.717488,2.4488308,5
서울특별시 광진구 광장동  247-2,9.813518,2.4055965,5
서울특별시 광진구 광장동  247-20,9.832099,2.4035025,25
서울특별시 광진구 광장동  247-22,9.840068,2.4016004,26
서울특별시 광진구 광장동  247-23,9.821807,2.4109874,25
서울특별시 광진구 광장동  247-24,9.827927,2.408869,25
서울특별시 광진구 광장동  248-10,10.008863,3.303373,11
서울특별시 광진구 광장동  248-19,10.012099,3.3095067,34
서울특별시 광진구 광장동  248-2,10.003791,3.3010175,33
서울특별시 광진구 광장동  248-20,9.767336,2.4161086,5
서울특별시 광진구 광장동  248-26,9.80302,2.4071593,5
서울특별시 광진구 광장동  248-28,10.006878,3.3050733,11
서울특별시 광진구 광장동  248-3,10.002884,3.299962,33
서울특별시 광진구 광장동  248-33,9.997053,3.2932978,32
서울특별시 광진구 광장동  248-38,10.012434,3.308673,34
서울특별시 광진구 광장동  248-7,10.00547,3.3011675,33
서울특별시 광진구 광장동  249-2,10.005404,3.3050213,11
서울특별시 광진구 광장동  249-7,10.012261,3.3095722,34
서울특별시 광진구 광장동  250,7.726355,-0.31414822,68
서울특별시 광진구 광장동  257-12,10.0075445,3.303446,11
서울특별시 광진구 광장동  257-4,9.998047,3.2870708,32
서울특별시 광진구 광장동  257-5,10.004029,3.3029816,33
서울특별시 광진구 광장동  257-7,9.997517,3.2966979,32
서울특별시 광진구 광장동  258-11,9.489049,2.4249694,4
서울특별시 광진구 광장동  258-14,9.502166,2.4139009,4
서울특별시 광진구 광장동  258-15,9.508868,2.4350326,4
서울특별시 광진구 광장동  258-18,9.503226,2.4223719,4
서울특별시 광진구 광장동  258-20,9.506149,2.4253032,4
서울특별시 광진구 광장동  258-25,10.012317,3.3097608,34
서울특별시 광진구 광장동  258-26,10.012338,3.3107405,35
서울특별시 광진구 광장동  258-27,10.003624,3.3025043,33
서울특별시 광진구 광장동  258-32,9.517933,2.4410686,4
서울특별시 광진구 광장동  258-36,10.012017,3.3091462,34
서울특별시 광진구 광장동  258-39,10.013427,3.3100455,35
서울특별시 광진구 광장동  258-40,10.01244,3.3092725,34
서울특별시 광진구 광장동  258-41,10.012878,3.3102703,35
서울특별시 광진구 광장동  258-42,10.012227,3.3094666,34
서울특별시 광진구 광장동  258-45,10.00062,3.2958272,32
서울특별시 광진구 광장동  258-7,9.495486,2.4400852,4
서울특별시 광진구 광장동  258-8,9.478247,2.4149563,4
서울특별시 광진구 광장동  259-3,10.012014,3.3092058,34
서울특별시 광진구 광장동  262,7.6313634,-0.27224988,601
서울특별시 광진구 광장동  264-1,7.6141696,-0.25749373,601
서울특별시 광진구 광장동  264-11,9.439924,2.4581163,24
서울특별시 광진구 광장동  264-4,9.469011,2.3963737,23
서울특별시 광진구 광장동  264-5,9.446659,2.452492,24
서울특별시 광진구 광장동  266,7.615666,-0.2490319,68
서울특별시 광진구 광장동  271-1,9.471077,2.408086,23
서울특별시 광진구 광장동  271-11,9.448268,2.4505224,24
서울특별시 광진구 광장동  271-15,9.452324,2.4491882,24
서울특별시 광진구 광장동  272-1,8.9125395,2.8501346,2
서울특별시 광진구 광장동  272-10,8.87977,2.8780138,2
서울특별시 광진구 광장동  272-11,8.894744,2.8511362,19
서울특별시 광진구 광장동  272-14,8.893865,2.8770108,2
서울특별시 광진구 광장동  272-15,8.933241,2.8445168,18
서울특별시 광진구 광장동  272-16,8.969978,2.7409654,16
서울특별시 광진구 광장동  272-18,8.943376,2.8323262,1
서울특별시 광진구 광장동  272-19,8.941426,2.8218408,1
서울특별시 광진구 광장동  272-2,8.999545,2.5834613,0
서울특별시 광진구 광장동  272-24,8.905972,2.8686433,19
서울특별시 광진구 광장동  272-31,8.890776,2.8737972,2
서울특별시 광진구 광장동  272-33,8.905735,2.859549,19
서울특별시 광진구 광장동  272-4,8.929603,2.8418388,18
서울특별시 광진구 광장동  272-5,8.901033,2.8666277,19
서울특별시 광진구 광장동  272-9,8.901874,2.855208,19
서울특별시 광진구 광장동  275-12,8.879592,2.8716006,2
서울특별시 광진구 광장동  276,8.818683,2.9482093,22
서울특별시 광진구 광장동  276-10,13.5435915,2.205283,1978
서울특별시 광진구 광장동  276-11,13.5870495,2.210186,1978
서울특별시 광진구 광장동  276-14,8.806223,2.9630363,22
서울특별시 광진구 광장동  276-19,8.89259,2.8594582,2
서울특별시 광진구 광장동  276-2,13.558078,2.2088006,1978
서울특별시 광진구 광장동  276-23,8.802146,2.9644184,22
서울특별시 광진구 광장동  276-29,13.5380125,2.2096171,1978
서울특별시 광진구 광장동  276-30,13.552767,2.2112396,1978
서울특별시 광진구 광장동  276-4,13.557232,2.2161648,1978
서울특별시 광진구 광장동  276-7,13.573532,2.2452228,1978
서울특별시 광진구 광장동  276-8,13.564957,2.1940427,1978
서울특별시 광진구 광장동  277-1,8.890706,2.865398,2
서울특별시 광진구 광장동  277-11,8.916182,2.8596563,19
서울특별시 광진구 광장동  277-12,8.974283,2.745258,16
서울특별시 광진구 광장동  280-1,8.932235,2.8389676,18
서울특별시 광진구 광장동  280-3,8.922383,2.852065,18
서울특별시 광진구 광장동  281-4,8.964368,2.7563424,16
서울특별시 광진구 광장동  282-1,8.959899,2.7765572,17
서울특별시 광진구 광장동  285-1,8.898654,2.8752532,2
서울특별시 광진구 광장동  285-11,8.808402,2.9616678,22
서울특별시 광진구 광장동  285-12,8.802662,2.9626288,22
서울특별시 광진구 광장동  285-14,8.928007,2.8484151,18
서울특별시 광진구 광장동  285-15,8.943381,2.840173,1
서울특별시 광진구 광장동  285-16,8.906326,2.8639834,19
서울특별시 광진구 광장동  285-17,8.920459,2.8555627,18
서울특별시 광진구 광장동  285-19,8.921574,2.846918,18
서울특별시 광진구 광장동  285-29,8.803439,2.9676647,22
서울특별시 광진구 광장동  285-3,8.806372,2.9665124,22
서울특별시 광진구 광장동  285-30,8.800527,2.9662166,22
서울특별시 광진구 광장동  285-31,8.928696,2.8468351,18
서울특별시 광진구 광장동  285-4,8.804719,2.9663074,22
서울특별시 광진구 광장동  285-6,8.804027,2.9649467,22
서울특별시 광진구 광장동  285-7,8.9276,2.8457992,18
서울특별시 광진구 광장동  285-8,8.907116,2.860997,19
서울특별시 광진구 광장동  287-5,10.012426,3.309549,34
서울특별시 광진구 광장동  288,10.012836,3.3103082,35
서울특별시 광진구 광장동  288-16,10.012561,3.3107235,35
서울특별시 광진구 광장동  288-17,10.012981,3.3106155,35
서울특별시 광진구 광장동  307-3,12.733185,1.7809392,1964
서울특별시 광진구 광장동  311,12.675063,1.7399065,705
서울특별시 광진구 광장동  313-3,12.702708,1.806358,1964
서울특별시 광진구 광장동  315-2,8.998246,2.7132316,15
서울특별시 광진구 광장동  317-1,8.957661,2.769674,17
서울특별시 광진구 광장동  318-6,12.675405,1.7659997,1964
서울특별시 광진구 광장동  319-1,12.665843,1.7808299,1964
서울특별시 광진구 광장동  319-33,12.617937,1.7841336,705
서울특별시 광진구 광장동  320-15,8.98828,2.7028043,15
서울특별시 광진구 광장동  320-6,8.911584,2.8578722,19
서울특별시 광진구 광장동  320-8,8.965346,2.7417123,16
서울특별시 광진구 광장동  322-10,8.774121,2.977928,22
서울특별시 광진구 광장동  322-3,8.992227,2.690103,15
서울특별시 광진구 광장동  322-4,8.904289,2.8547401,19
서울특별시 광진구 광장동  322-7,8.894006,2.8635066,2
서울특별시 광진구 광장동  322-8,8.936657,2.8098562,1
서울특별시 광진구 광장동  323-2,8.913878,2.8490279,2
서울특별시 광진구 광장동  323-3,8.959209,2.7592628,17
서울특별시 광진구 광장동  325-1,9.000667,2.6031334,0
서울특별시 광진구 광장동  325-4,9.000042,2.5903976,0
서울특별시 광진구 광장동  326-11,8.906718,2.8480697,19
서울특별시 광진구 광장동  326-13,8.992664,2.6431928,0
서울특별시 광진구 광장동  326-15,8.95052,2.7615101,17
서울특별시 광진구 광장동  326-16,8.962528,2.772416,17
서울특별시 광진구 광장동  326-6,8.900706,2.8552854,19
서울특별시 광진구 광장동  326-7,8.756888,2.9945486,22
서울특별시 광진구 광장동  326-8,8.803834,2.9594002,22
서울특별시 광진구 광장동  326-9,8.901437,2.8551574,19
서울특별시 광진구 광장동  329-1,8.991027,2.634511,0
서울특별시 광진구 광장동  330-3,8.963335,2.7699487,17
서울특별시 광진구 광장동  330-8,8.971144,2.7411602,16
서울특별시 광진구 광장동  330-9,8.945182,2.7615952,17
서울특별시 광진구 광장동  331-1,8.912949,2.8815193,2
서울특별시 광진구 광장동  331-3,8.97269,2.7376122,16
서울특별시 광진구 광장동  332-1,8.815118,2.9564416,22
서울특별시 광진구 광장동  332-3,8.788002,2.965396,22
서울특별시 광진구 광장동  332-5,8.982073,2.7226167,15
서울특별시 광진구 광장동  332-9,7.6071362,-0.24826688,601
서울특별시 광진구 광장동  333,8.9243,2.8470285,18
서울특별시 광진구 광장동  334-1,8.798291,2.9694862,22
서울특별시 광진구 광장동  334-11,8.797571,2.9702225,22
서울특별시 광진구 광장동  334-12,8.971024,2.74725,16
서울특별시 광진구 광장동  334-14,8.763497,2.982959,22
서울특별시 광진구 광장동  334-15,8.794785,2.9704494,22
서울특별시 광진구 광장동  334-16,8.92288,2.8481622,18
서울특별시 광진구 광장동  334-17,8.927566,2.8434768,18
서울특별시 광진구 광장동  336-1,8.96047,2.6556401,0
서울특별시 광진구 광장동  336-7,8.958532,2.7892714,17
서울특별시 광진구 광장동  337-4,8.925532,2.5631452,0
서울특별시 광진구 광장동  339-1,8.99884,2.5931,0
서울특별시 광진구 광장동  339-17,9.106154,2.6401424,21
서울특별시 광진구 광장동  339-3,9.109268,2.6376755,21
서울특별시 광진구 광장동  339-7,9.018304,2.5878246,0
서울특별시 광진구 광장동  339-8,9.058079,2.6402051,21
서울특별시 광진구 광장동  339-9,8.968485,2.813411,1
서울특별시 광진구 광장동  340-1,9.1043625,2.6501007,21
서울특별시 광진구 광장동  340-11,9.026669,2.7742755,20
서울특별시 광진구 광장동  340-13,9.025817,2.7763677,20
서울특별시 광진구 광장동  340-14,9.030423,2.8024695,20
서울특별시 광진구 광장동  340-19,9.02635,2.7754116,20
서울특별시 광진구 광장동  340-2,9.0264015,2.7755163,20
서울특별시 광진구 광장동  340-6,9.025964,2.7743237,20
서울특별시 광진구 광장동  341-1,9.005611,2.7155554,15
서울특별시 광진구 광장동  341-12,8.996366,2.6982706,15
서울특별시 광진구 광장동  341-35,9.008034,2.6031017,0
서울특별시 광진구 광장동  344,9.001418,2.571602,0
서울특별시 광진구 광장동  350-1,12.852091,1.7541912,1970
서울특별시 광진구 광장동  350-2,13.60959,2.2155755,1978
서울특별시 광진구 광장동  350-3,13.439037,2.0341203,1978
서울특별시 광진구 광장동  350-4,13.518819,2.1027036,1978
서울특별시 광진구 광장동  350-8,13.601664,2.209525,1978
서울특별시 광진구 광장동  353,12.504322,1.7402833,1968
서울특별시 광진구 광장동  355-1,13.24224,2.208797,709
서울특별시 광진구 광장동  355-2,12.811686,1.7641801,1970
서울특별시 광진구 광장동  356,12.9711895,1.8342168,1970
서울특별시 광진구 광장동  358-13,13.222806,2.2423012,709
서울특별시 광진구 광장동  358-14,13.228852,2.2364018,1979
서울특별시 광진구 광장동  358-15,13.2373905,2.209901,709
서울특별시 광진구 광장동  358-17,13.222817,2.246535,709
서울특별시 광진구 광장동  358-18,13.221072,2.2475023,709
서울특별시 광진구 광장동  358-19,13.236017,2.18073,709
서울특별시 광진구 광장동  369,12.629943,1.8175217,1966
서울특별시 광진구 광장동  370-5,13.246165,2.044,709
서울특별시 광진구 광장동  372-1,12.922408,1.7772497,1970
서울특별시 광진구 광장동  372-3,12.903379,1.766273,1970
서울특별시 광진구 광장동  376,13.21966,2.1160648,709
서울특별시 광진구 광장동  376-1,13.235356,2.1658626,709
서울특별시 광진구 광장동  376-17,13.239864,2.1543722,709
서울특별시 광진구 광장동  376-19,13.243937,2.2541127,709
서울특별시 광진구 광장동  376-2,13.246095,2.147159,709
서울특별시 광진구 광장동  376-20,13.232509,2.2511516,709
서울특별시 광진구 광장동  376-21,13.236732,2.2441251,709
서울특별시 광진구 광장동  376-9,13.2324915,2.2351775,1979
서울특별시 광진구 광장동  378-4,13.219509,2.2316172,709
서울특별시 광진구 광장동  378-5,13.236278,2.2185228,709
서울특별시 광진구 광장동  378-6,13.229094,2.2442048,709
서울특별시 광진구 광장동  378-8,13.22966,2.237873,1979
서울특별시 광진구 광장동  378-9,13.236299,2.243269,709
서울특별시 광진구 광장동  379,13.026968,1.7278477,1971
서울특별시 광진구 광장동  381-21,13.004714,1.7083049,1971
서울특별시 광진구 광장동  381-25,13.009182,1.719476,1971
서울특별시 광진구 광장동  381-30,13.006811,1.6887215,1971
서울특별시 광진구 광장동  381-32,13.030352,1.6723696,1971
서울특별시 광진구 광장동  381-8,12.999313,1.6762342,1971
서울특별시 광진구 광장동  387-1,12.879352,1.7670323,1970
서울특별시 광진구 광장동  388-1,13.239143,2.2434878,709
서울특별시 광진구 광장동  388-12,13.208713,2.1125124,709
서울특별시 광진구 광장동  388-3,13.184298,2.0708778,709
서울특별시 광진구 광장동  388-4,13.235585,2.0972686,709
서울특별시 광진구 광장동  388-7,13.164247,2.0347874,709
서울특별시 광진구 광장동  388-8,13.213156,2.0937016,709
서울특별시 광진구 광장동  389-1,7.6509523,-0.22281437,68
서울특별시 광진구 광장동  393,13.226266,2.2308538,1979
서울특별시 광진구 광장동  393-10,13.225928,2.2453775,709
서울특별시 광진구 광장동  393-11,13.227076,2.245359,709
서울특별시 광진구 광장동  393-12,13.2307205,2.2307618,709
서울특별시 광진구 광장동  393-13,13.223023,2.2387707,1979
서울특별시 광진구 광장동  393-14,13.219028,2.2558706,709
서울특별시 광진구 광장동  393-15,13.230866,2.220086,709
서울특별시 광진구 광장동  393-16,13.225799,2.237445,1979
서울특별시 광진구 광장동  393-17,13.228387,2.2247698,709
서울특별시 광진구 광장동  393-2,13.229722,2.233451,1979
서울특별시 광진구 광장동  393-20,13.23018,2.2322843,1979
서울특별시 광진구 광장동  393-21,13.2486515,2.2129328,709
서울특별시 광진구 광장동  393-23,13.226201,2.2332044,1979
서울특별시 광진구 광장동  393-24,13.230092,2.2367284,1979
서울특별시 광진구 광장동  393-25,13.230098,2.2326908,1979
서울특별시 광진구 광장동  393-26,13.23465,2.2355273,1979
서울특별시 광진구 광장동  393-3,13.238811,2.2373748,709
서울특별시 광진구 광장동  393-4,13.24005,2.2554102,709
서울특별시 광진구 광장동  393-6,13.225623,2.2300296,1979
서울특별시 광진구 광장동  393-9,13.227001,2.240807,1979
서울특별시 광진구 광장동  394-1,12.848464,1.7464548,1970
서울특별시 광진구 광장동  394-11,9.460398,2.4415796,24
서울특별시 광진구 광장동  394-12,9.461679,2.4405599,24
서울특별시 광진구 광장동  394-13,9.461728,2.4393373,24
서울특별시 광진구 광장동  394-14,9.451936,2.45183,24
서울특별시 광진구 광장동  394-15,9.468544,2.438689,24
서울특별시 광진구 광장동  394-16,9.471905,2.4338849,24
서울특별시 광진구 광장동  394-19,9.462987,2.4175339,23
서울특별시 광진구 광장동  394-21,9.477983,2.4163568,23
서울특별시 광진구 광장동  394-24,9.474057,2.407855,23
서울특별시 광진구 광장동  394-5,7.674073,-0.18320653,600
서울특별시 광진구 광장동  396-11,13.185477,2.228024,709
서울특별시 광진구 광장동  396-17,13.233145,2.2385924,1979
서울특별시 광진구 광장동  396-18,13.218968,2.2321918,709
서울특별시 광진구 광장동  396-4,9.853989,2.411991,5
서울특별시 광진구 광장동  396-6,9.839674,2.4221537,5
서울특별시 광진구 광장동  396-7,9.910367,2.4092739,5
서울특별시 광진구 광장동  396-8,13.215454,2.2323701,709
서울특별시 광진구 광장동  396-9,13.215414,2.2322757,709
서울특별시 광진구 광장동  401-16,12.611355,1.8218294,1965
서울특별시 광진구 광장동  401-24,12.550134,1.77108,1967
서울특별시 광진구 광장동  413-11,12.8387375,1.2418091,1960
서울특별시 광진구 광장동  413-12,12.815001,1.255831,1960
서울특별시 광진구 광장동  413-13,12.817676,1.2440224,1960
서울특별시 광진구 광장동  413-14,12.826067,1.2351336,1960
