지번주소,UMAP1,UMAP2,HDBSCAN_cluster_without_noise
서울특별시 광진구 광장동  105,-1.6535302,12.051132,0
서울특별시 광진구 광장동  106,-1.6554116,12.049907,0
서울특별시 광진구 광장동  107,-1.6384305,12.039934,0
서울특별시 광진구 광장동  108,-0.7767116,12.278508,0
서울특별시 광진구 광장동  110,-0.7911163,12.263251,0
서울특별시 광진구 광장동  112,-0.82386357,12.235266,0
서울특별시 광진구 광장동  114,-0.779042,12.280546,0
서울특별시 광진구 광장동  117,-1.6319134,12.046035,0
서울특별시 광진구 광장동  118,-1.6495249,12.040657,0
서울특별시 광진구 광장동  120,-1.6694906,12.043516,0
서울특별시 광진구 광장동  124,-0.74586785,12.29322,0
서울특별시 광진구 광장동  125,-1.6393378,12.042567,0
서울특별시 광진구 광장동  127,-0.8074822,12.247404,0
서울특별시 광진구 광장동  137,-1.6891847,11.990208,0
서울특별시 광진구 광장동  145-8,-1.9251179,6.6896415,6
서울특별시 광진구 광장동  148-21,-1.732922,11.993538,0
서울특별시 광진구 광장동  148-3,-1.7243878,11.981377,0
서울특별시 광진구 광장동  148-4,-1.9405657,6.63222,6
서울특별시 광진구 광장동  182-1,-1.7292159,11.988856,0
서울특별시 광진구 광장동  182-12,-1.708834,12.000812,0
서울특별시 광진구 광장동  182-14,-1.7006862,11.994631,0
서울특별시 광진구 광장동  182-15,-1.7071536,11.995061,0
서울특별시 광진구 광장동  182-3,-1.707064,11.999207,0
서울특별시 광진구 광장동  182-6,-1.699289,11.987883,0
서울특별시 광진구 광장동  182-8,-1.735058,11.99013,0
서울특별시 광진구 광장동  184-10,-1.705432,11.994737,0
서울특별시 광진구 광장동  185-2,-1.839528,12.10507,0
서울특별시 광진구 광장동  185-5,-1.7021233,11.998172,0
서울특별시 광진구 광장동  187-6,-1.7138009,11.999327,0
서울특별시 광진구 광장동  198-1,-0.31269976,12.571221,0
서울특별시 광진구 광장동  218-1,-1.906065,6.721742,6
서울특별시 광진구 광장동  237,6.0942526,4.677375,4
서울특별시 광진구 광장동  237-9,-1.8317518,13.008434,0
서울특별시 광진구 광장동  238,-1.9356318,12.821472,0
서울특별시 광진구 광장동  239-6,-1.959553,12.921217,0
서울특별시 광진구 광장동  240-1,-1.9658939,12.908983,0
서울특별시 광진구 광장동  241-1,-1.9726179,12.896767,0
서울특별시 광진구 광장동  242-1,-1.9563912,12.908036,0
서울특별시 광진구 광장동  243-12,-1.9700745,12.911836,0
서울특별시 광진구 광장동  243-8,-1.9867829,12.874462,0
서울특별시 광진구 광장동  243-9,-1.9868312,12.86697,0
서울특별시 광진구 광장동  244-1,-3.177151,14.15443,0
서울특별시 광진구 광장동  244-12,-3.147254,14.167905,0
서울특별시 광진구 광장동  244-21,-3.1772826,14.152652,0
서울특별시 광진구 광장동  244-23,-3.163956,14.162421,0
서울특별시 광진구 광장동  244-24,-3.1621268,14.158263,0
서울특별시 광진구 광장동  244-26,-1.9510628,12.926449,0
서울특별시 광진구 광장동  244-27,-1.9685675,12.90527,0
서울특별시 광진구 광장동  244-28,-1.9556143,12.922021,0
서울특별시 광진구 광장동  244-6,-3.1673033,14.1609745,0
서울특별시 광진구 광장동  244-7,-3.1797676,14.149913,0
서울특별시 광진구 광장동  245-10,-3.1762464,14.157469,0
서울특별시 광진구 광장동  245-11,-3.181756,14.153506,0
서울특별시 광진구 광장동  245-12,-3.177174,14.160192,0
서울특별시 광진구 광장동  245-13,-3.1756804,14.154956,0
서울특별시 광진구 광장동  245-15,-3.1758475,14.155807,0
서울특별시 광진구 광장동  245-16,-1.9522036,12.923424,0
서울특별시 광진구 광장동  245-2,-1.9696708,12.902946,0
서울특별시 광진구 광장동  245-3,-3.1800947,14.153226,0
서울특별시 광진구 광장동  245-4,-3.1796029,14.1587105,0
서울특별시 광진구 광장동  245-7,-3.1812603,14.153405,0
서울특별시 광진구 광장동  245-8,-3.1737347,14.14213,0
서울특별시 광진구 광장동  245-9,-3.177224,14.155897,0
서울특별시 광진구 광장동  246-10,-1.953525,12.923989,0
서울특별시 광진구 광장동  246-11,-1.9445488,12.919367,0
서울특별시 광진구 광장동  246-12,-1.9578804,12.9168215,0
서울특별시 광진구 광장동  246-20,-1.9638803,12.9102335,0
서울특별시 광진구 광장동  246-6,-1.9554487,12.923529,0
서울특별시 광진구 광장동  246-7,-1.9612137,12.91655,0
서울특별시 광진구 광장동  246-9,-1.9573642,12.912439,0
서울특별시 광진구 광장동  247,-3.1660805,14.161625,0
서울특별시 광진구 광장동  247-10,-3.167171,14.1616535,0
서울특별시 광진구 광장동  247-11,-3.175286,14.155033,0
서울특별시 광진구 광장동  247-13,-3.1717172,14.158021,0
서울특별시 광진구 광장동  247-17,-1.9645957,12.909862,0
서울특별시 광진구 광장동  247-18,-1.9693159,12.903569,0
서울특별시 광진구 광장동  247-2,-1.9727733,12.893039,0
서울특별시 광진구 광장동  247-20,-1.9659537,12.910285,0
서울특별시 광진구 광장동  247-22,-1.9619759,12.913453,0
서울특별시 광진구 광장동  247-23,-1.9775437,12.889986,0
서울특별시 광진구 광장동  247-24,-1.9688402,12.903673,0
서울특별시 광진구 광장동  248-10,-3.1748028,14.157938,0
서울특별시 광진구 광장동  248-19,-3.1703165,14.158944,0
서울특별시 광진구 광장동  248-2,-3.170884,14.158007,0
서울특별시 광진구 광장동  248-20,-1.9643453,12.901743,0
서울특별시 광진구 광장동  248-22,-3.163445,14.163994,0
서울특별시 광진구 광장동  248-24,-3.1765842,14.152246,0
서울특별시 광진구 광장동  248-25,-1.9798948,12.882291,0
서울특별시 광진구 광장동  248-26,-1.9756136,12.883154,0
서울특별시 광진구 광장동  248-28,-3.16663,14.1609335,0
서울특별시 광진구 광장동  248-3,-3.1398828,14.190513,0
서울특별시 광진구 광장동  248-33,-3.176322,14.153477,0
서울특별시 광진구 광장동  248-38,-3.1750803,14.1553335,0
서울특별시 광진구 광장동  248-5,-3.1717591,14.158658,0
서울특별시 광진구 광장동  248-7,-3.1674464,14.163455,0
서울특별시 광진구 광장동  249-1,-3.1754777,14.154631,0
서울특별시 광진구 광장동  249-2,-3.1747155,14.155408,0
서울특별시 광진구 광장동  249-3,-3.1758964,14.1537,0
서울특별시 광진구 광장동  249-7,-3.1659398,14.161676,0
서울특별시 광진구 광장동  250,-1.9462926,6.633751,6
서울특별시 광진구 광장동  256-1,-3.1731632,14.156031,0
서울특별시 광진구 광장동  256-3,-3.1794086,14.1499405,0
서울특별시 광진구 광장동  256-4,-3.181211,14.146035,0
서울특별시 광진구 광장동  257-10,-3.177915,14.151204,0
서울특별시 광진구 광장동  257-12,-3.2107856,14.118942,0
서울특별시 광진구 광장동  257-2,-3.1759627,14.153482,0
서울특별시 광진구 광장동  257-3,-3.1763003,14.152982,0
서울특별시 광진구 광장동  257-4,-3.1752844,14.154351,0
서울특별시 광진구 광장동  257-5,-3.178399,14.150925,0
서울특별시 광진구 광장동  257-7,-3.1796553,14.15001,0
서울특별시 광진구 광장동  257-8,-3.1676083,14.160156,0
서울특별시 광진구 광장동  257-9,-3.1626027,14.155763,0
서울특별시 광진구 광장동  258-10,-2.134481,12.571837,0
서울특별시 광진구 광장동  258-11,-2.1333408,12.592664,0
